timestamp,cpu_percent,ram_percent,warning
2026-05-18 21:06:08,2.9,74.7,
2026-05-18 21:06:09,6.2,74.7,
2026-05-18 21:06:10,2.2,74.7,
2026-05-18 21:06:11,7.1,74.3,
2026-05-18 21:06:12,7.1,75.3,
2026-05-18 21:06:13,1.2,75.3,
2026-05-18 21:06:14,2.0,75.2,
2026-05-18 21:06:15,6.7,75.3,
2026-05-18 21:06:16,6.2,75.1,
2026-05-18 21:06:17,5.6,75.1,
2026-05-18 21:06:18,3.4,75.1,
2026-05-18 21:06:19,1.9,75.1,
2026-05-18 21:06:20,1.5,75.1,
2026-05-18 21:06:21,1.2,75.1,
2026-05-18 21:06:22,1.2,75.1,
2026-05-18 21:06:23,6.5,75.1,
2026-05-18 21:06:24,5.1,75.1,
2026-05-18 21:06:25,2.4,75.1,
2026-05-18 21:06:26,0.8,75.1,
2026-05-18 21:06:27,2.9,75.1,
2026-05-18 21:06:28,3.1,75.1,
2026-05-18 21:06:29,4.9,75.1,
2026-05-18 21:06:30,3.1,75.1,
2026-05-18 21:06:31,2.5,75.1,
2026-05-18 21:06:32,2.3,75.1,
2026-05-18 21:06:33,4.0,75.1,
2026-05-18 21:06:34,3.2,75.1,
2026-05-18 21:06:35,5.9,75.1,
2026-05-18 21:06:36,1.8,75.1,
2026-05-18 21:06:37,2.3,75.1,
2026-05-18 21:06:38,2.3,75.1,
2026-05-18 21:06:39,1.7,75.1,
2026-05-18 21:06:40,4.5,75.0,
2026-05-18 21:06:41,4.2,75.0,
2026-05-18 21:06:42,2.5,75.0,
2026-05-18 21:06:43,3.1,75.0,
2026-05-18 21:06:44,6.1,75.0,
2026-05-18 21:06:45,9.3,75.1,
2026-05-18 21:06:46,7.7,75.0,
2026-05-18 21:06:47,4.6,75.0,
2026-05-18 21:06:48,2.8,75.0,
2026-05-18 21:06:49,1.9,75.0,
2026-05-18 21:06:51,2.5,75.0,
2026-05-18 21:06:52,3.3,75.0,
2026-05-18 21:06:53,5.7,75.0,
2026-05-18 21:06:54,3.6,75.0,
2026-05-18 21:06:55,4.4,75.0,
2026-05-18 21:06:56,3.6,75.0,
2026-05-18 21:06:57,3.1,75.0,
2026-05-18 21:06:58,2.8,75.0,
2026-05-18 21:06:59,4.3,75.0,
2026-05-18 21:07:00,7.7,75.0,
2026-05-18 21:07:01,3.3,75.0,
2026-05-18 21:07:02,2.3,75.0,
2026-05-18 21:07:03,2.1,75.0,
2026-05-18 21:07:04,3.2,75.0,
2026-05-18 21:07:05,4.4,75.0,
2026-05-18 21:07:06,3.1,75.0,
2026-05-18 21:07:07,4.0,75.0,
2026-05-18 21:07:08,3.4,74.9,
2026-05-18 21:07:09,5.7,75.0,
2026-05-18 21:07:10,3.8,75.1,
2026-05-18 21:07:11,5.3,75.1,
2026-05-18 21:07:12,2.9,74.1,
2026-05-18 21:07:13,5.0,74.3,
2026-05-18 21:07:14,5.2,74.3,
